City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
171,Vila Franca Do Campo,PT,37.7167,-25.4333,57.2,69,91,7.67,overcast clouds
172,Portland,US,45.5234,-122.6762,41.45,90,75,4.61,broken clouds
173,Minden,DE,52.2833,8.9167,42.33,80,75,16.11,broken clouds
174,Vuktyl,RU,63.8567,57.3094,19.81,94,100,9.13,light snow
175,Mahebourg,MU,-20.4081,57.7,80.89,89,40,21.85,scattered clouds
176,Nelson Bay,AU,-32.7167,152.15,80.29,83,98,1.99,light rain
177,Nishihara,JP,26.1842,127.7558,60.08,77,75,18.41,broken clouds
178,Boguchany,RU,58.3814,97.4531,7.79,100,90,3.02,overcast clouds
179,Houston,US,29.7633,-95.3633,74.48,80,100,16.11,overcast clouds
180,Harper,LR,4.375,-7.7169,78.55,88,100,7.38,overcast clouds
181,Luena,AO,-11.7833,19.9167,58.68,98,76,4.05,broken clouds
182,Jizan,SA,17.3333,42.6667,74.34,74,75,2.28,broken clouds
183,Altud,RU,43.7219,43.8658,39.65,93,48,5.14,scattered clouds
184,Zaozerne,UA,45.1582,33.2787,49.95,78,34,12.12,scattered clouds
185,Luderitz,NA,-26.6481,15.1594,70.38,59,43,14.5,scattered clouds
186,Oranjemund,NA,-28.55,16.4333,61.72,93,0,7.7,clear sky
187,Barrow,US,71.2906,-156.7887,8.62,78,100,14.97,haze
188,Carlsbad,US,33.1581,-117.3506,58.51,67,100,11.5,overcast clouds
189,Sao Pedro,BR,-22.5486,-47.9139,70.72,85,0,2.59,clear sky
190,Kalabo,ZM,-14.97,22.6814,65.48,94,75,4.63,broken clouds
191,Padang,ID,-0.9492,100.3543,77.05,75,100,2.17,overcast clouds
192,Geraldton,AU,-28.7667,114.6,82.81,61,0,19.57,clear sky
193,Haapsalu,EE,58.9431,23.5414,34.99,91,100,1.12,overcast clouds
194,Pokaran,IN,26.9167,71.9167,64.38,54,4,13.8,clear sky
195,Ancud,CL,-41.8697,-73.8203,56.73,67,0,9.42,clear sky
196,Kaeo,NZ,-35.1,173.7833,78.33,66,0,9.98,clear sky
197,Manitouwadge,CA,49.1215,-85.8403,-3.28,90,100,9.24,overcast clouds
198,Estrela,BR,-28.0611,-50.9383,60.75,96,5,2.62,clear sky
199,Maceio,BR,-9.6658,-35.7353,76.44,88,0,3.44,clear sky
200,College,US,64.8569,-147.8028,19.8,72,100,5.75,overcast clouds
201,Mar Del Plata,AR,-38.0023,-57.5575,70.09,93,75,11.99,broken clouds
202,Gubbio,IT,43.3545,12.5725,43.25,77,99,3.0,overcast clouds
203,Mitsamiouli,KM,-11.3847,43.2844,77.29,94,75,10.36,thunderstorm with light rain
204,Lata,PT,40.1629,-8.3327,46.72,69,5,4.38,clear sky
205,Ucluelet,CA,48.9329,-125.5528,44.91,59,24,5.28,few clouds
206,Aubenas,FR,44.6201,4.3899,46.17,69,72,7.74,broken clouds
207,Soure,BR,-0.7167,-48.5233,78.6,88,100,11.27,overcast clouds
208,Iqaluit,CA,63.7506,-68.5145,-27.67,68,75,25.32,broken clouds
209,Katsuura,JP,35.1333,140.3,48.18,47,24,9.22,few clouds
210,Tynda,RU,55.1667,124.7167,2.37,77,98,3.8,overcast clouds
211,Port Elizabeth,ZA,-33.918,25.5701,59.29,88,0,3.44,clear sky
212,Fortuna,US,40.5982,-124.1573,44.92,88,75,10.36,broken clouds
213,Baiyin,CN,36.5583,104.2081,18.48,44,11,2.06,few clouds
214,Adrar,MR,20.5022,-10.0711,78.24,18,100,4.25,overcast clouds
215,Karasjok,NO,69.4719,25.5112,3.31,97,100,2.04,overcast clouds
216,Mugur-Aksy,RU,50.35,90.5,-2.87,74,1,6.22,clear sky
217,Aldan,RU,58.6031,125.3894,10.36,92,100,8.39,light snow
218,Popondetta,PG,-8.7537,148.2534,89.78,57,47,4.56,scattered clouds
219,Alofi,NU,-19.0595,-169.9187,75.09,88,100,10.36,shower rain
220,Am Timan,TD,11.0297,20.2827,71.8,18,19,7.05,few clouds
221,Monte Alegre,BR,-2.0078,-54.0692,75.96,91,99,3.67,overcast clouds
222,Kurilsk,RU,45.2333,147.8833,26.22,93,100,30.98,snow
223,Hualmay,PE,-11.0964,-77.6139,72.34,79,100,6.55,overcast clouds
224,Hithadhoo,MV,-0.6,73.0833,82.6,71,100,9.28,overcast clouds
225,Hasaki,JP,35.7333,140.8333,45.28,34,2,5.57,clear sky
