City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
108,Bengkulu,ID,2022-02-08 20:46:18,-3.8004,102.2655,76.59,84,100,6.06
109,Adra,ES,2022-02-08 20:46:18,36.7496,-3.0206,57.45,74,1,8.7
110,Berlevag,NO,2022-02-08 20:46:19,70.8578,29.0864,26.55,68,75,9.22
111,Kabinda,CD,2022-02-08 20:46:19,-6.1333,24.4833,68.45,81,100,3.71
112,Porto Belo,BR,2022-02-08 20:46:19,-27.1578,-48.5531,78.8,63,14,11.68
113,Margate,GB,2022-02-08 20:46:20,51.3813,1.3862,50.97,77,93,4.0
114,Katsuura,JP,2022-02-08 20:46:20,35.1333,140.3,41.18,80,93,12.35
115,Laredo,US,2022-02-08 20:46:20,27.5064,-99.5075,71.6,24,0,4.61
116,Adrar,MR,2022-02-08 20:46:21,20.5022,-10.0711,69.78,11,76,10.54
117,Vila Franca Do Campo,PT,2022-02-08 20:46:21,37.7167,-25.4333,58.19,77,97,7.43
118,Bambous Virieux,MU,2022-02-08 20:46:21,-20.3428,57.7575,75.45,88,40,3.44
119,Alofi,NU,2022-02-08 20:46:22,-19.0595,-169.9187,73.29,84,100,5.75
120,Cerrito,CO,2022-02-08 20:46:22,6.8432,-72.694,56.59,89,100,1.59
121,Hay River,CA,2022-02-08 20:46:23,60.8156,-115.7999,-9.42,70,75,6.91
122,Portland,US,2022-02-08 20:43:11,45.5234,-122.6762,55.6,88,68,3.0
123,Burns Lake,CA,2022-02-08 20:45:05,54.2331,-125.7533,40.42,87,100,5.57
124,Amahai,ID,2022-02-08 20:46:23,-3.3333,128.9167,77.86,85,99,4.21
125,Kaitangata,NZ,2022-02-08 20:46:24,-46.2817,169.8464,58.96,84,99,9.84
126,Chino Valley,US,2022-02-08 20:46:24,34.7575,-112.4538,67.93,18,0,1.99
127,Jamestown,US,2022-02-08 20:46:24,42.097,-79.2353,28.09,57,100,11.5
128,Arraial Do Cabo,BR,2022-02-08 20:46:25,-22.9661,-42.0278,71.56,94,75,12.66
129,Guerrero Negro,MX,2022-02-08 20:44:50,27.9769,-114.0611,73.96,22,41,7.05
130,Ancud,CL,2022-02-08 20:46:25,-41.8697,-73.8203,71.22,59,83,7.05
131,Kidodi,TZ,2022-02-08 20:46:26,-7.6036,37.0044,72.88,91,100,2.82
132,Marzuq,YE,2022-02-08 20:46:26,14.4,46.4667,60.75,30,25,3.98
133,Faanui,PF,2022-02-08 20:46:26,-16.4833,-151.75,81.77,77,16,18.21
134,Broken Hill,AU,2022-02-08 20:46:27,-31.95,141.4333,67.71,83,40,5.75
135,Baiyin,CN,2022-02-08 20:46:27,36.5583,104.2081,18.5,69,7,2.86
136,Merritt,CA,2022-02-08 20:46:28,50.1123,-120.7942,43.63,82,98,4.63
137,Robertsport,LR,2022-02-08 20:47:28,6.7533,-11.3686,80.71,82,25,8.77
138,Bluff,NZ,2022-02-08 20:47:28,-46.6,168.3333,56.8,85,92,9.08
139,Coquimbo,CL,2022-02-08 20:47:29,-29.9533,-71.3436,69.53,68,40,13.8
140,Sioux Lookout,CA,2022-02-08 20:42:57,50.1001,-91.917,25.18,86,100,12.66
141,La Libertad,EC,2022-02-08 20:47:29,-2.2333,-80.9,82.06,69,0,6.91
142,Te Anau,NZ,2022-02-08 20:47:30,-45.4167,167.7167,59.02,83,87,0.34
143,Opuwo,NA,2022-02-08 20:47:30,-18.0607,13.84,70.27,58,53,9.26
144,Shangrao,CN,2022-02-08 20:47:31,28.4532,117.9686,40.26,94,100,3.38
145,Natal,BR,2022-02-08 20:47:31,-5.795,-35.2094,86.65,70,20,16.11
146,Pangnirtung,CA,2022-02-08 20:47:32,66.1451,-65.7125,-9.4,77,100,4.61
147,Whitehorse,CA,2022-02-08 20:44:24,60.7161,-135.0538,30.97,81,75,11.5
148,Narasannapeta,IN,2022-02-08 20:43:27,18.4167,84.05,69.01,79,28,1.21
149,Trabzon,TR,2022-02-08 20:47:32,40.9167,39.8333,59.09,27,75,12.66
150,Farah,AF,2022-02-08 20:47:33,32.5,62.5,43.61,49,0,3.67
151,Behbahan,IR,2022-02-08 20:47:33,30.5959,50.2417,47.52,52,0,3.0
152,Castro,BR,2022-02-08 20:47:33,-24.7911,-50.0119,70.7,81,79,3.94
153,Ban Nahin,LA,2022-02-08 20:47:34,18.2418,104.2122,65.41,86,100,4.47
154,Saint-Augustin,CA,2022-02-08 20:47:34,51.226,-58.6502,12.65,96,88,9.17
155,Port Elizabeth,ZA,2022-02-08 20:47:34,-33.918,25.5701,62.89,94,0,6.91
156,Urk,NL,2022-02-08 20:47:35,52.6625,5.6014,50.04,67,83,16.28
157,Njombe,TZ,2022-02-08 20:47:35,-9.3333,34.7667,56.5,95,98,2.01
158,Port Alfred,ZA,2022-02-08 20:47:35,-33.5906,26.891,72.25,85,7,6.55
159,Shimoda,JP,2022-02-08 20:47:36,34.6667,138.95,39.11,72,96,13.96
160,Barentu,ER,2022-02-08 20:47:36,15.1139,37.5928,69.48,57,5,2.17
161,Vao,NC,2022-02-08 20:47:36,-22.6667,167.4833,80.76,88,46,21.97
162,Sur,OM,2022-02-08 20:47:37,22.5667,59.5289,69.31,55,0,7.99
163,Mae Tha,TH,2022-02-08 20:47:37,18.4646,99.1403,66.97,42,17,1.63
164,Ribeira Grande,PT,2022-02-08 20:47:38,38.5167,-28.7,59.4,77,75,8.05
165,Ponta Delgada,PT,2022-02-08 20:47:38,37.7333,-25.6667,58.5,77,20,10.36
166,Cody,US,2022-02-08 20:43:57,44.5263,-109.0565,49.59,18,0,18.41
167,Flinders,AU,2022-02-08 20:45:52,-34.5833,150.8552,64.06,89,1,4.0
168,Paamiut,GL,2022-02-08 20:47:39,61.994,-49.6678,-0.71,82,100,10.18
169,Beja,TN,2022-02-08 20:47:39,36.7256,9.1817,43.45,74,0,2.21
170,Gilgit,PK,2022-02-08 20:47:39,35.9221,74.3087,31.17,94,100,0.63
