City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
284,Freeport,US,44.56,clear sky,40.6576,-73.5832,The Freeport Inn and Marina
285,Saint-Paul,RE,78.89,light rain,-21.0096,55.2707,Boucan Canot
286,Los Llanos De Aridane,ES,55.15,few clouds,28.6585,-17.9182,Valle Aridane
287,San Quintin,MX,58.17,scattered clouds,30.4833,-115.95,Don Eddie's Landing
288,Amahai,ID,79.7,moderate rain,-3.3333,128.9167,HOTEL ISABELA
289,Dwarka,IN,72.07,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
290,Wexford,IE,52.66,overcast clouds,52.3342,-6.4575,Talbot Hotel Wexford
292,Bambous Virieux,MU,80.85,light rain,-20.3428,57.7575,Casa Tia Villa
293,Port Macquarie,AU,80.56,light rain,-31.4333,152.9167,Rydges Port Macquarie
294,Waidhofen,DE,40.59,broken clouds,48.5833,11.3333,Edelweißhütte
295,Pontal Do Parana,BR,80.26,overcast clouds,-25.6533,-48.5128,Eco Hostel Residencial Bananeiras
297,Jalingo,NG,74.68,broken clouds,8.8833,11.3667,Debright Motel
298,Inhambane,MZ,77.47,broken clouds,-23.865,35.3833,Oceano
299,Mercedes,AR,69.84,overcast clouds,-34.6515,-59.4307,Posada del Inti Centro
300,Delmiro Gouveia,BR,76.33,clear sky,-9.3886,-37.9992,Hotel Nossa Senhora do Rosário
304,Vestmannaeyjar,IS,41.83,overcast clouds,63.4427,-20.2734,Glamping & Camping
305,Ponta Delgada,PT,58.5,few clouds,37.7333,-25.6667,Vila Nova Hotel
307,Hamilton,US,62.55,few clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
308,Ximei,CN,53.33,overcast clouds,24.9639,118.3794,Nan'an Hotel
310,Agadir,MA,59.45,clear sky,30.4202,-9.5982,Iberostar Founty Beach
312,Codrington,AU,68.85,clear sky,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
313,Puerto Madero,MX,79.29,scattered clouds,14.7208,-92.4215,Hospedaje madero
314,Takoradi,GH,79.2,scattered clouds,4.8845,-1.7554,Raybow International Hotel
315,Paraiso,CR,67.06,broken clouds,9.8383,-83.8656,Hotel Rinconcito Verde
316,Tezu,IN,59.92,clear sky,27.9167,96.1667,Circuit House
318,Nieuw Amsterdam,SR,77.02,overcast clouds,5.8833,-55.0833,Hotel Stardust
320,Isernia,IT,44.67,overcast clouds,41.6002,14.2382,B&B La piazzetta
322,Kangaba,ML,78.15,scattered clouds,11.9333,-8.4167,CAF (case de l´amitié et de la fraternité)
325,Sao Felix Do Xingu,BR,72.97,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
327,Diamantino,BR,70.61,overcast clouds,-14.4086,-56.4461,Hotel Delta
328,Uromi,NG,71.58,scattered clouds,6.7,6.3333,Royal Motel
329,Kipushi,CD,60.21,overcast clouds,-11.7667,27.2333,Villa Madimba
330,Villa Carlos Paz,AR,64.38,scattered clouds,-31.4241,-64.4978,Monte Carlo vcp
331,Awjilah,LY,56.93,broken clouds,29.1081,21.2869,المنزل
332,Phan Thiet,VN,82.81,overcast clouds,10.9333,108.1,Hotel Saigon-PT
333,Igunga,TZ,64.56,light rain,-4.2833,33.8833,Victoria Lodge
337,Masterton,NZ,73.96,clear sky,-40.9597,175.6575,Copthorne Hotel & Resort Solway Park Wairarapa
339,Lakki Marwat,PK,59.14,overcast clouds,32.6079,70.9114,ستاری چائے ہوٹل
342,Manta,EC,76.78,broken clouds,-0.95,-80.7333,Balandra Hotel
344,Kavaratti,IN,80.78,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
345,Bajil,YE,73.13,broken clouds,15.0584,43.2851,فندق حضرموت
346,Mae Sai,TH,68.45,overcast clouds,20.4335,99.8762,Piyaporn Hill Paradise Hotel
347,Mackay,AU,87.67,broken clouds,-21.15,149.2,International Lodge Motel
348,Preetz,DE,41.23,few clouds,54.2333,10.2833,Hotelbetrieb Hecht GmbH
350,Santa Isabel Do Rio Negro,BR,75.27,broken clouds,-0.4139,-65.0192,Hotel GSA
351,General Roca,AR,61.2,overcast clouds,-39.0333,-67.5833,Hotel El Recreo
352,Corinto,GR,57.45,few clouds,37.9407,22.9573,Ephira Hotel
354,Lompoc,US,57.42,haze,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
355,Ambon,ID,80.74,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
356,Kavieng,PG,81.28,light rain,-2.5744,150.7967,Nusa Island Retreat
357,Bichena,ET,55.78,broken clouds,10.45,38.2,Dagm Tesfa Hotel ዳግም ተስፋ ሆቴል
358,Tulagi,SB,84.94,broken clouds,-9.0996,160.1476,Raiders Hotel & Dive
362,Powell River,CA,41.0,few clouds,49.8496,-124.5361,Rodmay Hotel
365,Colac,AU,67.15,clear sky,-38.3333,143.5833,Otway Gate Motel
368,Alcaniz,ES,50.74,clear sky,41.05,-0.1333,Hotel Ciudad de Alcañiz
370,Rancho Palos Verdes,US,58.21,clear sky,33.7445,-118.387,Terranea Resort
371,Maragogi,BR,78.04,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
374,Muros,ES,45.1,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
376,Morant Bay,JM,76.62,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
379,Virginia Beach,US,59.02,overcast clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
382,Biu,NG,66.42,broken clouds,10.6129,12.1946,Emir's Palace
384,Arlit,NE,66.0,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
385,Kirakira,SB,85.32,overcast clouds,-10.4544,161.9205,SanBiz Lodge
386,Bang Yai,TH,78.94,broken clouds,13.8434,100.3625,Thai House Hotel
387,Ewa Beach,US,84.15,clear sky,21.3156,-158.0072,Base Lodging
389,Grand-Santi,GF,72.55,light rain,4.25,-54.3833,Hotel La Villa Couacou
390,Richards Bay,ZA,73.6,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
393,Gundlupet,IN,67.37,clear sky,11.8,76.6833,"1 BR Boutique stay in Melukamanahally, Chamrajnagar (4F3F), by GuestHouser"
